Country,Year,Total
Afghanistan,2016,4824.353
Albania,2016,4.86975
Algeria,2016,758.21
Angola,2016,14065.2
Antigua and Barbuda,2016,0.11513
Argentina,2016,159.1411
Armenia,2016,5.17336
Australia,2016,23.01346
Austria,2016,10.78108
Azerbaijan,2016,108.9128
Bahamas,2016,0.26811
Bahrain,2016,0.56435
Bangladesh,2016,19464.03
Barbados,2016,0.46915
Belarus,2016,4.89667
Belgium,2016,32.00647
Belize,2016,3.54188
Benin,2016,6494.034
Bhutan,2016,31.50916
Bolivia (Plurinational State of),2016,607.2645
Bosnia and Herzegovina,2016,2.76853
Botswana,2016,264.7807
Brazil,2016,2174.623
Brunei Darussalam,2016,0.19128
Bulgaria,2016,9.18815
Burkina Faso,2016,9256.325
Burundi,2016,6882.901
Cabo Verde,2016,22.32021
Cambodia,2016,1019.877
Cameroon,2016,10583.47
Canada,2016,133.5263
Central African Republic,2016,3772.784
Chad,2016,14603.3
Chile,2016,36.31498
China,2016,8134.223
Colombia,2016,366.4109
Comoros,2016,403.6642
Congo,2016,1984.138
Costa Rica,2016,41.96055
Croatia,2016,4.72051
Cuba,2016,117.7832
Cyprus,2016,3.26564
Czechia,2016,18.97327
C̫te d'Ivoire,2016,11174.47
Democratic People's Republic of Korea,2016,344.1445
Democratic Republic of the Congo,2016,47049.52
Denmark,2016,17.45619
Djibouti,2016,294.826
Dominican Republic,2016,234.8522
Ecuador,2016,105.2175
Egypt,2016,1915.882
El Salvador,2016,127.2203
Equatorial Guinea,2016,272.2647
Eritrea,2016,2257.556
Estonia,2016,0.08229
Eswatini,2016,374.6307
Ethiopia,2016,44713.33
Fiji,2016,25.95353
Finland,2016,1.99014
France,2016,171.7787
Gabon,2016,407.4295
Gambia,2016,604.6097
Georgia,2016,7.05726
Germany,2016,480.4347
Ghana,2016,5312.967
Greece,2016,4.14944
Grenada,2016,0.36792
Guatemala,2016,1043.895
Guinea,2016,5532.784
Guinea-Bissau,2016,640.4408
Guyana,2016,28.21598
Haiti,2016,2580.786
Honduras,2016,329.7852
Hungary,2016,23.39143
Iceland,2016,0.34426
India,2016,246087.9
Indonesia,2016,18426.38
Iran (Islamic Republic of),2016,790.3585
Iraq,2016,1129.005
Ireland,2016,3.50464
Israel,2016,20.21871
Italy,2016,81.52759
Jamaica,2016,17.6814
Japan,2016,212.9628
Jordan,2016,59.22872
Kazakhstan,2016,68.91383
Kenya,2016,24790.32
Kiribati,2016,19.05509
Kuwait,2016,0.50324
Kyrgyzstan,2016,46.21274
Lao People's Democratic Republic,2016,764.5544
Latvia,2016,0.40592
Lebanon,2016,47.25737
Lesotho,2016,977.5431
Liberia,2016,1916.729
Libya,2016,36.67053
Lithuania,2016,2.34934
Luxembourg,2016,0.27921
Madagascar,2016,7526.039
Malawi,2016,5118.163
Malaysia,2016,130.9834
Maldives,2016,1.3083
Mali,2016,12726.2
Malta,2016,0.14329
Mauritania,2016,1658.882
Mauritius,2016,7.42695
Mexico,2016,1346.237
Micronesia (Federated States of),2016,3.74615
Mongolia,2016,39.01429
Montenegro,2016,0.15999
Morocco,2016,671.3973
Mozambique,2016,7965.31
Myanmar,2016,6673.805
Namibia,2016,454.2127
Nepal,2016,5747.149
Netherlands,2016,40.92825
New Zealand,2016,6.79392
Nicaragua,2016,138.0232
Niger,2016,14639.56
Nigeria,2016,127641.3
Norway,2016,11.1195
Oman,2016,2.01467
Pakistan,2016,37847.05
Panama,2016,76.49982
Papua New Guinea,2016,1318.642
Paraguay,2016,98.49413
Peru,2016,405.7023
Philippines,2016,4332.105
Poland,2016,34.67636
Portugal,2016,15.86048
Qatar,2016,0.20829
Republic of Korea,2016,917.0953
Republic of Moldova,2016,3.89474
Republic of North Macedonia,2016,1.54705
Romania,2016,71.66723
Russian Federation,2016,150.7938
Rwanda,2016,2305.976
Saint Lucia,2016,1.11909
Saint Vincent and the Grenadines,2016,1.46129
Samoa,2016,2.90513
Sao Tome and Principe,2016,22.71185
Saudi Arabia,2016,29.77708
Senegal,2016,3678.639
Serbia,2016,64.98421
Seychelles,2016,0.15963
Sierra Leone,2016,6012.55
Singapore,2016,3.71719
Slovakia,2016,2.43565
Slovenia,2016,0.43939
Solomon Islands,2016,37.01826
Somalia,2016,12395.83
South Africa,2016,7656.672
South Sudan,2016,7740.42
Spain,2016,70.36836
Sri Lanka,2016,247.5077
Sudan,2016,6855.941
Suriname,2016,11.20705
Sweden,2016,21.169
Switzerland,2016,11.58101
Syrian Arab Republic,2016,675.5495
Tajikistan,2016,235.8854
Thailand,2016,2414.717
Timor-Leste,2016,125.7667
Togo,2016,3166.78
Tonga,2016,1.52692
Trinidad and Tobago,2016,1.93681
Tunisia,2016,115.7742
Turkey,2016,235.1192
Turkmenistan,2016,225.2361
Uganda,2016,13093.17
Ukraine,2016,119.3717
United Arab Emirates,2016,2.69967
United Kingdom of Great Britain and Northern Ireland,2016,129.7347
United Republic of Tanzania,2016,21341.52
United States of America,2016,745.9761
Uruguay,2016,12.40418
Uzbekistan,2016,138.8398
Vanuatu,2016,28.17007
Venezuela (Bolivarian Republic of),2016,438.8923
Viet Nam,2016,1532.777
Yemen,2016,2814.495
Zambia,2016,5792.504
Zimbabwe,2016,3965.033
